channel #	PM	PM channel	HV board	HV channel	MCP S/N	HV cable	signal cable	EndPoint/Link
164	C5	PMC5/Ch09	3	HVC3/09	2165	FTC-E6	FTC-E6-2	1/5
165	C5	PMC5/Ch10	3	HVC3/09	2165	FTC-E6	FTC-E6-3	1/5
166	C5	PMC5/Ch11	3	HVC3/09	2165	FTC-E6	FTC-E6-1	1/5
167	C5	PMC5/Ch12	3	HVC3/09	2165	FTC-E6	FTC-E6-4	1/5
168	C6	PMC6/Ch01	3	HVC3/04	2148	FTC-C5	FTC-C5-4	1/6
169	C6	PMC6/Ch02	3	HVC3/04	2148	FTC-C5	FTC-C5-3	1/6
170	C6	PMC6/Ch03	3	HVC3/04	2148	FTC-C5	FTC-C5-1	1/6
171	C6	PMC6/Ch04	3	HVC3/04	2148	FTC-C5	FTC-C5-2	1/6
172	C6	PMC6/Ch05	3	HVC3/05	2162	FTC-C6	FTC-C6-4	1/6
173	C6	PMC6/Ch06	3	HVC3/05	2162	FTC-C6	FTC-C6-3	1/6
174	C6	PMC6/Ch07	3	HVC3/05	2162	FTC-C6	FTC-C6-1	1/6
175	C6	PMC6/Ch08	3	HVC3/05	2162	FTC-C6	FTC-C6-2	1/6
176	C6	PMC6/Ch09	3	HVC3/03	2144	FTC-B6	FTC-B6-2	1/6
177	C6	PMC6/Ch10	3	HVC3/03	2144	FTC-B6	FTC-B6-1	1/6
178	C6	PMC6/Ch11	3	HVC3/03	2144	FTC-B6	FTC-B6-3	1/6
179	C6	PMC6/Ch12	3	HVC3/03	2144	FTC-B6	FTC-B6-4	1/6
180	C7	PMC7/Ch01	3	HVC3/02	2136	FTC-B4	FTC-B4-1	1/7
181	C7	PMC7/Ch02	3	HVC3/02	2136	FTC-B4	FTC-B4-2	1/7
182	C7	PMC7/Ch03	3	HVC3/02	2136	FTC-B4	FTC-B4-4	1/7
183	C7	PMC7/Ch04	3	HVC3/02	2136	FTC-B4	FTC-B4-3	1/7
184	C7	PMC7/Ch05	3	HVC3/00	2151	FTC-A4	FTC-A4-1	1/7
185	C7	PMC7/Ch06	3	HVC3/00	2151	FTC-A4	FTC-A4-2	1/7
186	C7	PMC7/Ch07	3	HVC3/00	2151	FTC-A4	FTC-A4-4	1/7
187	C7	PMC7/Ch08	3	HVC3/00	2151	FTC-A4	FTC-A4-3	1/7
188	C7	PMC7/Ch09	3	HVC3/01	2141	FTC-A5	FTC-A5-1	1/7
189	C7	PMC7/Ch10	3	HVC3/01	2141	FTC-A5	FTC-A5-2	1/7
190	C7	PMC7/Ch11	3	HVC3/01	2141	FTC-A5	FTC-A5-4	1/7
191	C7	PMC7/Ch12	3	HVC3/01	2141	FTC-A5	FTC-A5-3	1/7
192	C8	PMC8/Ch01	4	HVC4/00	2121	FTC-B2	FTC-B2-2	1/8
193	C8	PMC8/Ch02	4	HVC4/00	2121	FTC-B2	FTC-B2-3	1/8
194	C8	PMC8/Ch03	4	HVC4/00	2121	FTC-B2	FTC-B2-1	1/8
195	C8	PMC8/Ch04	4	HVC4/00	2121	FTC-B2	FTC-B2-4	1/8
196	C8	PMC8/Ch05	4	HVC4/01	2133	FTC-E2	FTC-E2-1	1/8
197	C8	PMC8/Ch06	4	HVC4/01	2133	FTC-E2	FTC-E2-2	1/8
198	C8	PMC8/Ch07	4	HVC4/01	2133	FTC-E2	FTC-E2-4	1/8
199	C8	PMC8/Ch08	4	HVC4/01	2133	FTC-E2	FTC-E2-3	1/8
200	C8	PMC8/Ch09	N/A	N/A	N/A	N/A	N/A	1/8
201	C8	PMC8/Ch10	N/A	N/A	N/A	N/A	N/A	1/8
202	C8	PMC8/Ch11	N/A	N/A	N/A	N/A	N/A	1/8
203	C8	PMC8/Ch12	N/A	N/A	N/A	N/A	N/A	1/8
204	C9	PMC9/Ch01	4	HVC4/02	2158	FTC-E5	FTC-E5-2	1/9
205	C9	PMC9/Ch02	4	HVC4/02	2158	FTC-E5	FTC-E5-3	1/9
206	C9	PMC9/Ch03	4	HVC4/02	2158	FTC-E5	FTC-E5-1	1/9
207	C9	PMC9/Ch04	4	HVC4/02	2158	FTC-E5	FTC-E5-4	1/9
208	C9	PMC9/Ch05	4	HVC4/03	2143	FTC-B5	FTC-B5-1	1/9
209	C9	PMC9/Ch06	4	HVC4/03	2143	FTC-B5	FTC-B5-2	1/9
210	C9	PMC9/Ch07	4	HVC4/03	2143	FTC-B5	FTC-B5-4	1/9
211	C9	PMC9/Ch08	4	HVC4/03	2143	FTC-B5	FTC-B5-3	1/9
212	C9	PMC9/Ch09	N/A	N/A	N/A	N/A	N/A	1/9
213	C9	PMC9/Ch10	N/A	N/A	N/A	N/A	N/A	1/9
214	C9	PMC9/Ch11	N/A	N/A	N/A	N/A	N/A	1/9
215	C9	PMC9/Ch12	N/A	N/A	N/A	N/A	N/A	1/9
216	A9	PMA9/Ch01	4	HVCM/12	N/A	FT0-LCS	FTA-LCS	0/9
217	A9	PMA9/Ch02	4	HVCM/12	N/A	FT0-LCS	FTA-LCS-H	0/9
218	A9	PMA9/Ch03	4	HVCM/12	N/A	FT0-LCS	FTC-LCS	0/9
219	A9	PMA9/Ch04	4	HVCM/12	N/A	FT0-LCS	FTC-LCS-H	0/9
220	A9	PMA9/Ch05	4	HVCM/12	N/A	FT0-LCS	FTA-LCS	0/9
221	A9	PMA9/Ch06	4	HVCM/12	N/A	FT0-LCS	FTA-LCS-H	0/9
222	A9	PMA9/Ch07	4	HVCM/12	N/A	FT0-LCS	FTC-LCS	0/9
223	A9	PMA9/Ch08	4	HVCM/12	N/A	FT0-LCS	FTC-LCS-H	0/9
224	A9	PMA9/Ch09	4	HVCM/12	N/A	FT0-LCS	FTA-LCS	0/9
225	A9	PMA9/Ch10	4	HVCM/12	N/A	FT0-LCS	FTA-LCS-H	0/9
226	A9	PMA9/Ch11	4	HVCM/12	N/A	FT0-LCS	FTC-LCS	0/9
227	A9	PMA9/Ch12	4	HVCM/12	N/A	FT0-LCS	FTC-LCS-H	0/9
228	A11 PMA11/Ch01 N/A	N/A	N/A	N/A	N/A	0/11      
